carpark,address,postal_code,weekdays_rate,weekdays_rate_2,weekdays_rate_3,weekdays_rate_4,weekdays_rate_5,weekdays_rate_6,weekdays_rate_7,weekdays_rate_8,saturday_rate,saturday_rate_2,saturday_rate_3,saturday_rate_4,saturday_rate_5,saturday_rate_6,sunday_publicholiday_rate,sunday_publicholiday_rate_2,sunday_publicholiday_rate_3,sunday_publicholiday_rate_4,sunday_publicholiday_rate_5,sunday_publicholiday_rate_6,sunday_publicholiday_rate_7
Atrix Building,82 Lorong 23 Geylang Singapore 388409,388409,07:00 AM - 06:00 PM: 10 mins grace period; Per hour $1.28,06:00 PM - 12:00 AM: 10 mins grace period; $2.68 per entry,12:00 AM - 07:00 AM: 10 mins grace period; Per hour $1.28,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; $2.68 per entry,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; $2.68 per entry,,,,,,
268 Orchard Road,268 Orchard Road Singapore 238856,238856,12:00 AM - 12:00 AM: $3.00 per 30 mins,,,,,,,,12:00 AM - 12:00 AM: $3.00 per 30 mins,,,,,,12:00 AM - 12:00 AM: $3.00 per 30 mins,,,,,,
Audio House Building,23 Ubi Road 3 Singapore 408620,408620,12:00 AM - 12:00 AM: 15 mins grace period; First hour free; Subsequent hour $2.00,,,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; $2.00 per entry,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; $2.00 per entry,,,,,,
28 Maxwell Rd,28 Maxwell Road Singapore 069120,069120,05:31 AM - 05:29 PM: $3.00 per 30 mins,05:30 PM - 05:30 AM: $4.00 per entry,,,,,,,05:31 AM - 05:29 PM: $3.00 per 30 mins,05:30 PM - 05:30 AM: $4.00 per entry,,,,,05:31 AM - 05:29 PM: $3.00 per 30 mins,05:30 PM - 05:30 AM: $4.00 per entry,,,,,
30 Bencoolen,30 Bencoolen Street Singapore 189621,189621,08:00 AM - 06:00 PM: First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 08:00 AM: First hour $3.00; Subsequent 30 mins $1.50,,,,,,,08:00 AM - 06:00 PM: First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 08:00 AM: First hour $3.00; Subsequent 30 mins $1.50,,,,,08:00 AM - 06:00 PM: First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 08:00 AM: First hour $3.00; Subsequent 30 mins $1.50,,,,,
313@Somerset,313 Orchard Road Singapore 238895,238895,07:00 AM - 07:00 AM: First hour $3.00; Subsequent 30 mins $1.28,07:00 AM - 07:00 AM: First hour $3.20; Subsequent 30 mins $1.61,,,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: First hour $3.20; Subsequent 30 mins $1.61,,,,,,
336 River Valley,336 River Valley Road Singapore 238366,238366,12:00 AM - 12:00 AM: $2.50 per hour; Capped at $7.00,,,,,,,,12:00 AM - 12:00 AM: $2.50 per hour; Capped at $7.00,,,,,,12:00 AM - 12:00 AM: $2.50 per hour; Capped at $7.00,,,,,,
Automobile Megamart (AML),61 Ubi Avenue 2 Singapore 408898,408898,08:00 AM - 06:00 PM: 10 mins grace period; Per hour $1.50,06:00 PM - 12:00 AM: 10 mins grace period; $2.00 per entry,12:00 AM - 08:00 AM: No parking,,,,,,08:00 AM - 06:00 PM: 10 mins grace period; Per hour $1.50,06:00 PM - 12:00 AM: 10 mins grace period; $2.00 per entry,12:00 AM - 08:00 AM: No parking,,,,08:00 AM - 06:00 PM: 10 mins grace period; Per hour $1.50,06:00 PM - 12:00 AM: 10 mins grace period; $2.00 per entry,12:00 AM - 08:00 AM: No parking,,,,
Bedok Central Blk 215A (Multi-Storey Car Park),215A Bedok Central Singapore 461215,461215,07:00 AM - 10:30 PM: $0.06 per 30 mins,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,,,07:00 AM - 10:30 PM: $0.06 per 30 mins,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,07:00 AM - 10:30 PM: $0.06 per 30 mins,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,
50 Scotts Road,50 Scotts Road Singapore 228242,228242,07:00 AM - 10:59 AM: First hour $2.50; Subsequent 30 mins $1.20,11:00 AM - 01:59 PM: First hour $3.00; Subsequent 30 mins $1.50,02:00 PM - 04:59 PM: First hour $2.50; Subsequent 30 mins $1.20,05:00 PM - 06:59 AM: $3.50 per entry,,,,,07:00 AM - 06:59 AM: $3.50 per entry,,,,,,07:00 AM - 06:59 AM: $3.50 per entry,,,,,,
Bedok Community Centre,850 Upper Changi Road Singapore 467352,467352,07:00 AM - 11:30 PM: 10 mins grace period; Per hour $1.20,11:30 PM - 07:00 AM: 10 mins grace period; $3.00 per entry,,,,,,,07:00 AM - 11:30 PM: 10 mins grace period; Per hour $1.20,11:30 PM - 07:00 AM: 10 mins grace period; $3.00 per entry,,,,,07:00 AM - 11:30 PM: 10 mins grace period; Per hour $1.20,11:30 PM - 07:00 AM: 10 mins grace period; $3.00 per entry,,,,,
