carpark,address,postal_code,weekdays_rate,weekdays_rate_2,weekdays_rate_3,weekdays_rate_4,weekdays_rate_5,weekdays_rate_6,weekdays_rate_7,weekdays_rate_8,saturday_rate,saturday_rate_2,saturday_rate_3,saturday_rate_4,saturday_rate_5,saturday_rate_6,sunday_publicholiday_rate,sunday_publicholiday_rate_2,sunday_publicholiday_rate_3,sunday_publicholiday_rate_4,sunday_publicholiday_rate_5,sunday_publicholiday_rate_6,sunday_publicholiday_rate_7
Bedok Mall,311 New Upper Changi Road Singapore 467360,467360,12:00 AM - 06:00 PM: 10 mins grace period; First hour $1.55; Subsequent 15 mins $0.40,06:00 PM - 12:00 AM: 10 mins grace period; $2.60 per entry,12:00 AM - 12:00 AM: 15 mins grace period; $1.30 per entry,,,,,,12:00 AM - 06:00 PM: 10 mins grace period; First hour $1.55; Subsequent 15 mins $0.40,06:00 PM - 12:00 AM: 10 mins grace period; $2.60 per entry,12:00 AM - 12:00 AM: 15 mins grace period; $1.30 per entry,,,,12:00 AM - 06:00 PM: 10 mins grace period; First hour $1.55; Subsequent 15 mins $0.40,06:00 PM - 12:00 AM: 10 mins grace period; $2.60 per entry,12:00 AM - 12:00 AM: 15 mins grace period; $1.30 per entry,,,,
Bedok Reservoir Park,739A Bedok Reservoir Road Singapore 471739,471739,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,,,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,
Bedok Reservoir Park B,12 Tai Seng Link #06-02 Singapore 534233,534233,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,,,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,
51 Bencoolen Street,51 Bencoolen Street Singapore 189630,189630,07:00 AM - 06:00 PM: $1.00 per 30 mins,06:01 PM - 06:59 AM: $2.00 per hour,,,,,,,07:00 AM - 06:00 PM: $1.00 per 30 mins,06:01 PM - 06:59 AM: $2.00 per hour,,,,,07:00 AM - 06:00 PM: $1.00 per 30 mins,06:01 PM - 06:59 AM: $2.00 per hour,,,,,
51 Cuppage Road,12 Tai Seng Link #06-02 Singapore 534233,534233,07:00 AM - 05:00 PM: First hour $2.80; Subsequent 30 mins $1.20,05:00 PM - 07:00 AM: First hour $2.80; Subsequent hour $1.20,,,,,,,07:00 AM - 05:00 PM: First hour $2.80; Subsequent 30 mins $1.20,05:00 PM - 07:00 AM: First hour $2.80; Subsequent hour $1.20,,,,,07:00 AM - 05:00 PM: First hour $2.80; Subsequent 30 mins $1.20,05:00 PM - 07:00 AM: First hour $2.80; Subsequent hour $1.20,,,,,
6 Raffles Quay,6 Raffles Quay Singapore 048580,048580,07:00 AM - 08:00 PM: $2.50 per 30 mins,08:00 PM - 11:00 PM: $3.00 per entry,11:00 PM - 07:00 AM: No parking,07:00 AM - 03:00 PM: $2.50 per 30 mins,03:00 PM - 07:00 PM: $3.00 per entry,07:00 PM - 07:00 AM: No parking,,,Same as weekdays,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
79 Anson Road,79 Anson Road Singapore 079906,079906,07:00 AM - 06:00 PM: $2.00 per 30 mins,06:00 PM - 07:00 AM: $4.00 per entry,11:00 PM - 07:00 AM: No parking,07:00 AM - 01:00 PM: $2.00 per 30 mins,01:00 PM - 11:00 PM: $4.00 per entry,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $4.00 per entry,,,,,,
8 Central Link,8 Jalan Kilang Barat Singapore 159351,159351,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.50,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.50,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.50,,,,,,
Abdul Gaffoor Mosque,41 Dunlop Street Singapore 209369,209369,07:00 AM - 05:00 PM: $1.30 per hour,05:00 PM - 12:00 AM: $1.60 per entry,12:00 AM - 07:00 AM: $1.10 per hour,,,,,,07:00 AM - 05:00 PM: $1.30 per hour,05:00 PM - 12:00 AM: $1.60 per entry,12:00 AM - 07:00 AM: $1.10 per hour,,,,07:00 AM - 12:00 AM: $2.00 per entry,12:00 AM - 07:00 AM: $1.60 per hour,,,,,
Albert Complex,60 Albert Street Singapore 189969,189969,07:00 AM - 11:00 PM: $1.20 per 30 mins,11:00 PM - 07:00 AM: No parking,,,,,,,07:00 AM - 11:00 PM: $1.20 per 30 mins,11:00 PM - 07:00 AM: No parking,,,,,07:00 AM - 11:00 PM: $1.20 per 30 mins,11:00 PM - 07:00 AM: No parking,,,,,
FloraVista & FloraView,7 Ang Mo Kio Street 66 Singapore 567708,567708,12:00 AM - 12:00 AM: 15 mins grace period; Per hour $1.20,,,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per hour $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per hour $1.20,,,,,,
Albert Court Hotel,180 Albert Street Singapore 189971,189971,08:00 AM - 06:00 PM: First hour $2.50; Subsequent 30 mins $1.00,06:00 PM - 08:00 AM: $3.50 per entry,12:00 AM - 12:00 AM: $3.50 per entry,,,,,,08:00 AM - 06:00 PM: First hour $2.50; Subsequent 30 mins $1.00,06:00 PM - 08:00 AM: $3.50 per entry,12:00 AM - 12:00 AM: $3.50 per entry,,,,Same as weekdays,,,,,,
Gain City Megastore,12 Tai Seng Link #06-02 Singapore 534233,534233,11:00 AM - 10:00 PM: 6 hours grace period; Per hour $2.00,,,,,,,,11:00 AM - 10:00 PM: 6 hours grace period; Per hour $2.00,,,,,,11:00 AM - 10:00 PM: 6 hours grace period; Per hour $2.00,,,,,,
HDB Blk 4A / 6A (Woodlands Centre Road),"4A Woodlands Centre Road, Singapore 731004",731004,07:00 AM - 10:30 PM: 15 mins grace period; Per 30 mins $0.60,10:30 PM - 01:00 AM: 15 mins grace period; Per 30 mins $0.60; Capped at $2.00,01:00 AM - 07:00 AM: 15 mins grace period; $2.00 per entry,,,,,,07:00 AM - 10:30 PM: 15 mins grace period; Per 30 mins $0.60,10:30 PM - 01:00 AM: 15 mins grace period; Per 30 mins $0.60; Capped at $2.00,01:00 AM - 07:00 AM: 15 mins grace period; $2.00 per entry,,,,07:00 AM - 10:30 PM: 15 mins grace period; Per 30 mins $0.60,10:30 PM - 01:00 AM: 15 mins grace period; Per 30 mins $0.60; Capped at $2.00,01:00 AM - 07:00 AM: 15 mins grace period; $2.00 per entry,,,,
HDB Hub (Toa Payoh),"480 Toa Payoh Lorong 6, Singapore 310480",310480,07:00 AM - 06:00 PM: 10 mins grace period; Per 30 mins $0.60,06:00 PM - 10:30 PM: 10 mins grace period; $1.50 per entry,10:30 PM - 07:00 AM: 10 mins grace period; $5.00 per entry,,,,,,07:00 AM - 06:00 PM: 10 mins grace period; Per 30 mins $0.60,06:00 PM - 10:30 PM: 10 mins grace period; $1.50 per entry,10:30 PM - 07:00 AM: 10 mins grace period; $5.00 per entry,,,,07:00 AM - 11:30 PM: 10 mins grace period; $1.50 per entry,10:30 PM - 07:00 AM: 10 mins grace period; $5.00 per entry,,,,,
Highland Centre,"22 Yio Chu Kang Road, Singapore 545535",545535,08:00 AM - 02:00 PM: 5 mins grace period; Per 15 mins $0.32,02:00 PM - 06:00 PM: 5 mins grace period; Per 10 mins $0.32,06:00 PM - 12:00 AM: 5 mins grace period; Per 15 mins $0.32,12:00 AM - 08:00 AM: 5 mins grace period; Per 30 mins $1.28,,,,,08:00 AM - 02:00 PM: 5 mins grace period; Per 15 mins $0.32,02:00 PM - 06:00 PM: 5 mins grace period; Per 10 mins $0.32,06:00 PM - 12:00 AM: 5 mins grace period; Per 15 mins $0.32,12:00 AM - 08:00 AM: 5 mins grace period; Per 30 mins $1.28,,,08:00 AM - 12:00 PM: 5 mins grace period; $1.28 per entry,12:00 AM - 08:00 AM: 5 mins grace period; Per 30 mins $1.28,,,,,
HillV2,"4 Hillview Rise, Singapore 667979",667979,07:00 AM - 07:00 AM: 15 mins grace period; First hour $1.51; Subsequent 30 mins $0.92,,,,,,,,07:00 AM - 07:00 AM: 15 mins grace period; First hour $1.51; Subsequent 30 mins $0.92,,,,,,07:00 AM - 07:00 AM: 15 mins grace period; First hour $1.51; Subsequent 30 mins $0.92,,,,,,
HomeTeamNS Bedok Reservoir,"900 Bedok North Road, Singapore 479994",479994,06:00 AM - 05:00 PM: First hour $1.70; Subsequent 15 mins $0.43,05:00 PM - 03:00 AM: $4.16 per entry,03:00 AM - 06:00 AM: $3.90 per entry,,,,,,06:00 AM - 05:00 PM: First hour $1.70; Subsequent 15 mins $0.43,05:00 PM - 03:00 AM: $4.16 per entry,03:00 AM - 06:00 AM: $3.90 per entry,,,,06:00 AM - 03:00 AM: $4.16 per entry,03:00 AM - 06:00 AM: $3.90 per entry,,,,,
HomeTeamNS Khatib,"2 Yishun Walk, Singapore 767944",767944,06:00 AM - 05:00 PM: First hour $1.70; Subsequent 15 mins $0.43,05:00 PM - 03:00 AM: $4.16 per entry,03:00 AM - 06:00 AM: $3.90 per entry,,,,,,06:00 AM - 05:00 PM: First hour $1.70; Subsequent 15 mins $0.43,05:00 PM - 03:00 AM: $4.16 per entry,03:00 AM - 06:00 AM: $3.90 per entry,,,,06:00 AM - 03:00 AM: $4.16 per entry,03:00 AM - 06:00 AM: $3.90 per entry,,,,,
Bedok Shopping Complex,348 Bedok Road Singapore 469535,469535,07:00 AM - 02:00 PM: $1.20 per hour,02:00 PM - 07:00 AM: $1.50 per hour,,,,,,,07:00 AM - 02:00 PM: $1.20 per hour,02:00 PM - 07:00 AM: $1.50 per hour,,,,,07:00 AM - 02:00 PM: $1.20 per hour,02:00 PM - 07:00 AM: $1.50 per hour,,,,,
Hong Heng Mansions,"58 Sembawang Road, Singapore 779087",779087,07:00 AM - 07:00 AM: $1.60 per hour; Capped at $6.90,,,,,,,,07:00 AM - 07:00 AM: $1.60 per hour; Capped at $6.90,,,,,,07:00 AM - 07:00 AM: $1.60 per hour; Capped at $6.90,,,,,,
ITE Headquarters & ITE College Central (Open carpark),"2 Ang Mo Kio Drive, Singapore 567720",567720,07:00 AM - 05:00 PM: 20 mins grace period; Per 30 mins $0.60,05:00 PM - 10:30 PM: 20 mins grace period; Per 30 mins $0.60,07:00 AM - 10:30 PM: 20 mins grace period; Per 30 mins $0.60,,,,,,Same as weekdays,,,,,,07:00 AM - 10:30 PM: Free parking,,,,,,
Big Splash,902 East Coast Parkway Singapore 449874,449874,12:00 AM - 05:00 PM: Free parking,05:00 PM - 12:00 AM: 30 mins grace period; Per hour $1.50,,,,,,,12:00 AM - 12:00 AM: 30 mins grace period; Per hour $1.50,,,,,,12:00 AM - 12:00 AM: 30 mins grace period; Per hour $1.50,,,,,,
Jackson Square,"11 Lorong 3 Toa Payoh, Singapore 319579",319579,08:00 AM - 08:00 AM: $0.50 per 30 mins,,,,,,,,08:00 AM - 08:00 AM: $0.50 per 30 mins,,,,,,08:00 AM - 08:00 AM: $1.00 per entry,,,,,,
Bread Talk IHQ,30 Tai Seng Street Singapore 534013,534013,06:00 AM - 12:00 AM: 10 mins grace period; First hour free; Subsequent hour $1.50; Subsequent hour $2.50,12:00 AM - 06:00 AM: 10 mins grace period; Per hour $2.50,,,,,,,06:00 AM - 12:00 AM: 10 mins grace period; First hour free; $2.00 per entry,12:00 AM - 06:00 AM: 10 mins grace period; Per hour $2.50; Capped at $12.50,,,,,06:00 AM - 12:00 AM: 10 mins grace period; First hour free; $2.00 per entry,12:00 AM - 06:00 AM: 10 mins grace period; Per hour $2.50; Capped at $12.50,,,,,
Alexandra Retail Centre,460 Alexandra Road Singapore 119963,119963,07:00 AM - 06:30 PM: $2.50 per hour,06:30 PM - 10:00 PM: Free parking,10:00 PM - 07:00 AM: $2.70 per hour,12:00 AM - 12:00 AM: 10 mins grace period; Per 15 mins $1.50,,,,,07:00 AM - 10:00 PM: Free parking,10:00 PM - 07:00 AM: $2.70 per hour,12:00 AM - 12:00 AM: 10 mins grace period; Per 15 mins $1.50,,,,07:00 AM - 10:00 PM: Free parking,10:00 PM - 07:00 AM: $2.70 per hour,12:00 AM - 12:00 AM: 10 mins grace period; Per 15 mins $1.50,,,,
Altez,16 Enggor Street Singapore 079717,079717,07:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 07:00 AM: $3.00 per entry,07:00 AM - 01:00 PM: $1.50 per 30 mins,01:00 PM - 07:00 AM: $3.00 per entry,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $3.00 per entry,,,,,,
Bright Vision Hospital,5 Lorong Napiri Singapore 547530,547530,12:00 AM - 12:00 AM: Free parking,,,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
Capri by Fraser,"3 Changi, Business Park Central 1 Singapore 486037",486037,07:00 AM - 06:00 PM: $0.70 per 30 mins,06:00 PM - 07:00 AM: $2.50 per entry,,,,,,,07:00 AM - 05:00 PM: First 2 hours $2.50; Subsequent 30 mins $1.20,05:00 PM - 07:00 AM: $2.50 per entry,,,,,07:00 AM - 05:00 PM: First 2 hours $2.50; Subsequent 30 mins $1.20,05:00 PM - 07:00 AM: $2.50 per entry,,,,,
Centrium Road,320 Serangoon Road Singapore 218108,218108,07:00 AM - 07:00 PM: First hour $2.00; Subsequent 30 mins $1.00,07:00 PM - 07:00 AM: $2.50 per entry,,,,,,,07:00 AM - 07:00 PM: First hour $2.00; Subsequent 30 mins $1.00,07:00 PM - 07:00 AM: $2.50 per entry,,,,,07:00 AM - 07:00 PM: First hour $2.00; Subsequent 30 mins $1.00,07:00 PM - 07:00 AM: $2.50 per entry,,,,,
Century Square,2 Tampines Central 5 Singapore 529509,529509,06:00 AM - 06:00 PM: First hour $1.35; Subsequent 30 mins $0.70,06:00 PM - 06:00 AM: $2.50 per entry,,,,,,,06:00 AM - 06:00 PM: First hour $1.60; Subsequent 30 mins $0.70,06:00 PM - 06:00 AM: $2.60 per entry,,,,,06:00 AM - 06:00 PM: First hour $1.60; Subsequent 30 mins $0.70,06:00 PM - 06:00 AM: $2.60 per entry,,,,,
Certis CISCO Centre,20 Jalan Afifi Singapore 409179,409179,07:00 AM - 06:00 PM: $1.60 per 30 mins,06:00 PM - 07:00 AM: $1.20 per 30 mins,,,,,,,12:00 AM - 12:00 AM: $1.00 per 30 mins,,,,,,12:00 AM - 12:00 AM: $1.00 per 30 mins,,,,,,
Chancerlodge Complex,105 Sims Avenue Singapore 387429,387429,12:00 AM - 12:00 AM: $1.20 per hour,,,,,,,,12:00 AM - 12:00 AM: $1.20 per hour,,,,,,12:00 AM - 12:00 AM: $1.20 per hour,,,,,,
Changi Airfreight Centre (CAC),9 Airline Road Singapore 819827,819827,07:00 AM - 10:00 PM: $0.50 per 30 mins,10:00 PM - 07:00 AM: $2.00 per entry,,,,,,,07:00 AM - 10:00 PM: $0.50 per 30 mins,10:00 PM - 07:00 AM: $2.00 per entry,,,,,07:00 AM - 10:00 PM: $0.50 per 30 mins,10:00 PM - 07:00 AM: $2.00 per entry,,,,,
Changi Airport Terminal 1 / Jewel (General Parking B3 to B5),80 Airport Boulevard Singapore 918146,918146,12:00 AM - 12:00 AM: 10 mins grace period; Per min $0.04,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per min $0.04,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per min $0.04,,,,,,
Amara Hotel,165 Tanjong Pagar Road Singapore 088539,088539,08:00 AM - 05:00 PM: $2.00 per 30 mins,05:00 PM - 07:59 AM: $3.00 per entry,,,,,,,08:00 AM - 05:00 PM: $2.00 per 30 mins,05:00 PM - 07:59 AM: $3.00 per entry,,,,,08:00 AM - 07:59 AM: $3.00 per entry,,,,,,
Amoy Street Off Street,86 Amoy Street Singapore 069905,069905,07:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 07:00 AM: $0.60 per 30 mins,07:00 AM - 05:00 PM: $1.20 per 30 mins,,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $0.60 per 30 mins,,,,,,
Changi Airport Terminal 2,60 Airport Boulevard Singapore 819643,819643,12:00 AM - 12:00 AM: 10 mins grace period; Per min $0.04,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per min $0.04,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per min $0.04,,,,,,
Changi Budget Terminal,30 Airport Boulevard Singapore 819662,819662,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Anchorpoint Shopping Centre,370 Alexandra Road Singapore 159953,159953,12:00 AM - 06:00 PM: 10 mins grace period; Per hour $1.98,06:00 PM - 11:59 PM: 10 mins grace period; $2.98 per entry,,,,,,,12:00 AM - 06:00 PM: 10 mins grace period; Per hour $1.98,06:00 PM - 11:59 PM: 10 mins grace period; $2.98 per entry,,,,,12:00 AM - 06:00 PM: 10 mins grace period; Per hour $1.98,06:00 PM - 11:59 PM: 10 mins grace period; $2.98 per entry,,,,,
Changi Chapel and Museum (The Changi Museum),1000 Upper Changi Road North Singapore 507707,507707,"Weekdays before 5/6pm: Daily (6.00am-5.59pm): $1.20 per hr (or part thereof, capped at $12 per day)",Weekdays after 5/6pm: 6.00pm onwards: $3 per entry,,,,,,,Saturdays: Same as weekdays,,,,,,Sundays/Public Holidays: Same as weekdays,,,,,,
Changi City Point,5 Changi Business Park Central 1 Singapore 486038,486038,06:00 AM - 06:00 PM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.75,06:00 PM - 06:00 AM: 10 mins grace period; $2.70 per entry,,,,,,,06:00 AM - 06:00 PM: 10 mins grace period; First 2 hours $2.70; Subsequent 30 mins $1.30,06:00 PM - 06:00 AM: 10 mins grace period; $2.70 per entry,,,,,06:00 AM - 06:00 PM: 10 mins grace period; First 2 hours $2.70; Subsequent 30 mins $1.30,06:00 PM - 06:00 AM: 10 mins grace period; $2.70 per entry,,,,,
JTC Aviation One @ Seletar Aerospace Park,"700 West Camp Road, Singapore 797649",797649,07:00 AM - 05:00 PM: 15 mins grace period; Per 30 mins $0.60,05:00 PM - 07:00 AM: Free parking,,,,,,,07:00 AM - 05:00 PM: 15 mins grace period; Per 30 mins $0.60,05:00 PM - 07:00 AM: Free parking,,,,,07:00 AM - 07:00 AM: Free parking,,,,,,
JTC Aviation Two @ Seletar Aerospace Park,"690 West Camp Road, Singapore 797523",797523,07:00 AM - 05:00 PM: 15 mins grace period; Per 30 mins $0.60,05:00 PM - 07:00 AM: Free parking,,,,,,,07:00 AM - 05:00 PM: 15 mins grace period; Per 30 mins $0.60,05:00 PM - 07:00 AM: Free parking,,,,,07:00 AM - 07:00 AM: Free parking,,,,,,
JTC Blk 970 / 998 Toa Payoh North,"970 Toa Payoh North, Singapore 318992",318992,07:00 AM - 10:00 PM: $0.60 per 30 mins,10:00 PM - 07:00 AM: $2.00 per entry,,,,,,,07:00 AM - 10:00 PM: $0.60 per 30 mins,10:00 PM - 07:00 AM: $2.00 per entry,,,,,07:00 AM - 07:00 AM: $2.00 per entry,,,,,,
Junction 8 (Basement Car Park),"9 Bishan Place, Singapore 579837",579837,12:00 AM - 06:00 PM: 10 mins grace period; First hour $1.35; Subsequent 15 mins $0.45,06:00 PM - 12:00 PM: 10 mins grace period; $2.65 per entry,,,,,,,12:00 AM - 03:00 AM: 10 mins grace period; Per 15 mins $0.45,03:00 AM - 06:00 PM: 10 mins grace period; First 2 hours $2.65; Subsequent 15 mins $0.45,06:00 PM - 12:00 PM: 10 mins grace period; $2.65 per entry,,,,12:00 AM - 03:00 AM: 10 mins grace period; Per 15 mins $0.45,03:00 AM - 06:00 PM: 10 mins grace period; First 2 hours $2.65; Subsequent 15 mins $0.45,06:00 PM - 12:00 PM: 10 mins grace period; $2.65 per entry,,,,
Junction Nine,"18 Yishun Avenue 9, Singapore 768897",768897,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.20; Subsequent 30 mins $0.80,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.20; Subsequent 30 mins $0.80,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.20; Subsequent 30 mins $0.80,,,,,,
Jurong Industrial Estate (Jurong Port Workshops),"27A Jurong Port Road, Singapore 619101",619101,07:00 AM - 07:00 PM: hour grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: hour grace period; Per 30 mins $0.60; Capped at $4.00,,,,,,,07:00 AM - 07:00 PM: hour grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: hour grace period; Per 30 mins $0.60; Capped at $4.00,,,,,07:00 AM - 07:00 PM: hour grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: hour grace period; Per 30 mins $0.60; Capped at $4.00,,,,,
Khoo Teck Puat Hospital,"90 Yishun Central, Singapore 768828",768828,08:00 AM - 05:00 PM: 10 mins grace period; Per min $0.03,05:00 PM - 08:00 AM: 10 mins grace period; Per min $0.03,,,,,,,08:00 AM - 05:00 PM: 10 mins grace period; Per min $0.03,05:00 PM - 08:00 AM: 10 mins grace period; Per min $0.03,,,,,08:00 AM - 05:00 PM: 10 mins grace period; Per min $0.03,05:00 PM - 08:00 AM: 10 mins grace period; Per min $0.03,,,,,
1001 Bukit Merah Lane 3,1001 Bukit Merah Lane 3 Singapore 159718,159718,07:00 AM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,,,,,,,07:00 AM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,,,,,07:00 AM - 10:30 PM: $0.60 per 30 mins,10:30 PM - 07:00 AM: $0.60 per 30 mins; Capped at $5.00,,,,,
34 Boon Leat Terrace,34 Boon Leat Terrace Singapore 119866,119866,07:00 AM - 06:00 PM: First hour $2.20; Subsequent 30 mins $1.10,06:00 PM - 07:00 AM: $2.50 per entry,07:00 AM - 01:00 PM: 3 hours grace period; First hour $1.60; Subsequent 30 mins $0.80,01:00 PM - 07:00 AM: $2.50 per entry,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: 3 hours grace period; $2.50 per entry,,,,,,
ARC 380,380 Jalan Besar Singapore 209000,209000,07:00 AM - 07:00 PM: First hour $1.80; Subsequent hour $1.30,07:00 PM - 07:00 AM: $4.00 per entry,,,,,,,07:00 AM - 07:00 PM: First hour $1.80; Subsequent hour $1.30,07:00 PM - 07:00 AM: $4.00 per entry,,,,,07:00 AM - 07:00 PM: First hour $1.80; Subsequent hour $1.30,07:00 PM - 07:00 AM: $4.00 per entry,,,,,
Asia Square Tower 1,8 Marina View Singapore 018960,018960,07:00 AM - 05:59 PM: $1.07 per 10 mins,06:00 PM - 06:59 AM: $5.35 per entry,,,,,,,07:00 AM - 06:59 AM: $5.35 per entry,,,,,,07:00 AM - 06:59 AM: $5.35 per entry,,,,,,
Asia Square Tower 2,12 Marina View Singapore 018961,018961,07:00 AM - 05:59 PM: $1.07 per 10 mins,06:00 PM - 06:59 AM: $5.35 per entry,,,,,,,07:00 AM - 06:59 AM: $5.35 per entry,,,,,,07:00 AM - 06:59 AM: $5.35 per entry,,,,,,
Sell Vehicle,1 Empress Place Singapore 179555,179555,08:00 AM - 05:59 PM: $1.24 per 30 mins,06:00 PM - 07:59 AM: $2.06 per entry,,,,,,,08:00 AM - 05:59 PM: $1.24 per 30 mins,06:00 PM - 07:59 AM: $2.06 per entry,,,,,08:00 AM - 07:59 AM: $2.06 per entry,,,,,,
Balestier Plaza,400 Balestier Road Singapore 329802,329802,07:00 AM - 07:00 AM: $1.64 per hour,,,,,,,,07:00 AM - 07:00 AM: $1.64 per hour,,,,,,07:00 AM - 07:00 AM: $1.64 per hour,,,,,,
Balestier Point,279 Balestier Road Singapore 329727,329727,08:00 AM - 10:00 PM: First hour $1.40; Subsequent 30 mins $0.70,10:00 PM - 08:00 AM: $2.50 per entry,,,,,,,08:00 AM - 10:00 PM: First hour $1.40; Subsequent 30 mins $0.70,10:00 PM - 08:00 AM: $2.50 per entry,,,,,08:00 AM - 08:00 AM: $2.50 per entry,,,,,,
Apex @ Henderson,201 Henderson Road S(159545,159545,07:00 AM - 06:00 PM: 10 mins grace period; Per 30 mins $0.80,06:00 PM - 07:00 AM: 10 mins grace period; $2.50 per entry,,,,,,,07:00 AM - 06:00 PM: 10 mins grace period; Per 30 mins $0.80,06:00 PM - 07:00 AM: 10 mins grace period; $2.50 per entry,,,,,07:00 AM - 07:00 AM: 10 mins grace period; $2.50 per entry,,,,,,
Balestier Towers,207 Balestier Road Singapore 329683,329683,08:00 AM - 04:59 PM: $1.50 per hour,05:00 PM - 07:59 AM: $2.75 per entry,,,,,,,08:00 AM - 04:59 PM: $1.50 per hour,05:00 PM - 07:59 AM: $2.75 per entry,,,,,08:00 AM - 04:59 PM: $1.50 per hour,05:00 PM - 07:59 AM: $2.75 per entry,,,,,
Changi Ferry Terminal,30 Changi Ferry Road Singapore 499675,499675,12:00 AM - 12:00 AM: Free parking,,,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
Changi Hospital (CGH),2 Simei Street 3 Singapore 529889,529889,12:00 AM - 12:00 AM: First hour $1.50; Subsequent min $0.03,,,,,,,,12:00 AM - 12:00 AM: First hour $1.50; Subsequent min $0.03,,,,,,12:00 AM - 12:00 AM: First hour $1.50; Subsequent min $0.03,,,,,,
Changi Hotel,80 Changi Road Singapore 419715,419715,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Changi Point Coastal Walk / Changi Beach (Car Park 1 to 6),12 Tai Seng Link #06-02 Singapore 534233,534233,08:30 AM - 05:00 PM: $0.60 per 30 mins,05:00 PM - 08:30 AM: Free parking,,,,,,,08:30 AM - 05:00 PM: $0.60 per 30 mins,05:00 PM - 08:30 AM: Free parking,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
Changli Sailing Club,32 Netheravon Road Singapore 508508,508508,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,,,,,,
Changi Village Hotel,1 Netheravon Road Singapore 508502,508502,06:00 AM - 05:00 PM: First hour $4.00; Subsequent hour $3.00,05:00 PM - 06:00 AM: $6.50 per entry,06:00 AM - 12:00 AM: First hour $4.00; Subsequent hour $3.00,12:00 AM - 06:00 AM: $6.50 per entry,,,,,12:00 AM - 12:00 AM: First hour $4.00; Subsequent hour $3.00,,,,,,12:00 AM - 12:00 AM: First hour $4.00; Subsequent hour $3.00,,,,,,
Charles & Keith Building,21 Tai Seng Street Singapore 534166,534166,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Chinese Swimming Club,21 Amber Road Singapore 439870,439870,06:00 AM - 05:00 PM: First 2 hours $3.24; Subsequent hour $1.62,05:00 PM - 02:00 AM: First 2 hours $4.28; Subsequent hour $2.16,02:00 AM - 06:00 AM: No parking,,,,,,06:00 AM - 05:00 PM: First 2 hours $3.24; Subsequent hour $1.62,05:00 PM - 02:00 AM: First 2 hours $4.28; Subsequent hour $2.16,02:00 AM - 06:00 AM: No parking,,,,06:00 AM - 05:00 PM: First 2 hours $3.24; Subsequent hour $1.62,05:00 PM - 02:00 AM: First 2 hours $4.28; Subsequent hour $2.16,02:00 AM - 06:00 AM: No parking,,,,
